no_of_locations,no_of_conditions,enrollment,no_of_arms,no_of_drug_interventions,no_of_behavioral_interventions,no_of_procedural_interventions,no_of_biological_interventions,no_of_device_interventions,no_of_dietary_interventions,no_of_other_interventions,adverseEventDataAvailable,no_of_combination_product_interventions,no_of_diagnostic_test_interventions,no_of_genetic_interventions,no_of_radiation_interventions,min_age,max_age,total_dropout_rate,no_of_primary_outcomes,no_of_secondary_outcomes,has_result,phase_MISSING,phase_PHASE1,phase_PHASE2,phase_PHASE3,phase_PHASE4,sponsor_FED,sponsor_INDIV,sponsor_INDUSTRY,sponsor_NIH,sponsor_OTHER,sponsor_OTHER_GOV,allocation_encoded,intervention_model_CROSSOVER,intervention_model_FACTORIAL,intervention_model_PARALLEL,intervention_model_SEQUENTIAL,intervention_model_SINGLE_GROUP,masking_DOUBLE,masking_NONE,masking_QUADRUPLE,masking_TRIPLE,male,female,trail_length
1,1,38,2,2,1,0,0,0,0,1,1,0,0,0,0,35,70,0,1,8,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1539
551,1,18206,2,2,0,0,0,0,0,0,1,0,0,0,0,40,69,3,1,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1567
1,1,133,2,1,0,0,0,0,1,0,1,0,0,0,0,30,65,0,1,3,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1637
1,1,20,3,0,0,0,0,0,0,0,1,0,1,0,0,35,69,40,1,6,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,942
7,1,100,3,3,0,0,0,0,0,0,1,0,0,0,0,18,60,13,33,13,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,2958
329,1,2996,4,2,0,0,0,0,0,0,1,0,0,0,0,18,89,7,2,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2374
45,2,373,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,9,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2061
13,1,58,2,1,0,0,0,0,0,0,1,0,0,0,0,20,69,5,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2778
41,1,166,2,2,0,0,0,0,0,0,1,0,0,0,0,18,78,10,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2208
12,1,181,3,3,0,0,0,0,0,0,1,0,0,0,0,20,75,16,1,16,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2649
1,1,468,3,4,0,0,0,0,0,0,1,0,0,0,0,25,69,8,3,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1732
2,1,150,5,3,0,0,0,0,0,0,1,0,0,0,0,18,80,0,2,28,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1475
1,1,174,2,2,0,0,0,0,0,0,1,0,0,0,0,20,80,30,1,5,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,2109
1,1,22,2,3,0,0,0,0,0,0,1,0,0,0,0,18,60,0,1,4,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,2217
1,1,405,2,1,0,0,0,0,0,0,1,0,0,0,0,18,85,0,1,10,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1015
4,1,81,4,2,0,0,0,0,0,0,1,0,0,0,0,18,70,0,2,16,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1646
2,1,36,4,0,0,0,2,0,0,0,1,0,0,0,0,18,70,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,924
97,1,1036,2,4,0,0,0,0,0,0,1,0,0,0,0,18,69,0,1,12,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2040
1,1,83,3,6,2,0,0,0,0,1,1,0,0,0,0,30,80,2,1,7,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,3560
3,1,64,5,5,0,0,0,0,0,0,1,0,0,0,0,18,55,3,1,7,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1918
1,1,36,2,1,0,0,0,0,0,1,1,0,0,0,0,18,70,11,1,6,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1016
1,1,3095,2,2,0,0,0,0,0,0,1,0,0,0,0,30,80,42,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3525
298,1,2245,2,2,0,0,0,0,0,0,1,0,0,0,0,18,89,0,2,9,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2260
1,1,796,2,2,0,0,0,0,0,0,1,0,0,0,0,18,80,28,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3041
213,1,811,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,22,1,10,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3742
84,2,420,2,1,0,0,0,0,0,0,1,0,0,0,0,18,69,6,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,887
182,1,1549,2,4,0,0,0,0,0,0,1,0,0,0,0,18,69,23,1,9,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2205
1,1,60,2,2,0,0,0,0,0,0,1,0,0,0,0,18,70,17,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1967
52,1,278,2,0,0,0,0,2,0,0,1,0,0,0,0,22,75,22,1,6,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1160
1,1,64,1,0,0,0,0,0,0,1,1,0,0,0,0,21,69,10,3,11,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,525
1,1,247,2,3,0,0,0,0,0,0,1,0,0,0,0,18,69,27,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1977
96,1,1240,4,6,0,0,0,0,0,0,1,0,0,0,0,18,80,12,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1968
3,1,116,2,2,0,0,0,0,0,0,1,0,0,0,0,35,70,5,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2977
123,1,1093,3,5,0,0,0,0,0,0,1,0,0,0,0,18,77,13,1,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2638
176,2,2053,3,2,0,0,0,0,0,0,1,0,0,0,0,18,70,38,2,10,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3117
1,1,23,2,2,0,0,0,0,0,0,1,0,0,0,0,45,70,0,1,14,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,4430
1,1,10,1,0,1,0,0,0,0,0,1,0,0,0,0,30,65,0,1,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1467
34,1,241,2,2,0,0,0,0,0,0,1,0,0,0,0,70,69,9,1,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1373
218,1,507,2,1,0,0,1,0,0,0,1,0,0,0,0,18,69,24,1,15,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2482
124,1,514,2,7,0,0,0,0,0,0,1,0,0,0,0,18,69,0,2,16,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2119
1,1,14,2,2,0,0,0,0,0,0,1,0,0,0,0,30,60,0,3,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,687
62,1,514,3,5,0,0,0,0,0,0,1,0,0,0,0,18,69,22,1,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2569
25,1,426,2,3,0,0,0,0,0,0,1,0,0,0,0,30,79,16,1,8,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1033
2,1,41,2,0,0,0,1,0,0,0,1,0,0,0,0,18,70,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,3898
2,1,48,2,2,0,0,0,0,0,0,1,0,0,0,0,20,75,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1582
4,1,247,2,3,0,0,0,0,0,0,1,0,0,0,0,18,69,17,2,12,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1204
386,1,1049,4,5,0,0,2,0,0,0,1,0,0,0,0,18,69,0,1,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2843
1,1,108,1,1,0,0,0,0,0,0,1,0,0,0,0,18,75,6,1,3,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,2373
1,1,47,1,1,1,0,0,0,0,0,1,0,0,0,0,30,55,32,2,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,5361
23,1,163,4,2,0,0,0,0,0,0,1,0,0,0,0,18,75,0,1,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3901
3,1,69,2,3,0,0,0,0,0,0,1,0,0,0,0,30,75,0,1,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3767
1,1,44,2,2,0,0,0,0,0,0,1,0,0,0,0,18,70,0,3,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2156
16,1,26,2,5,0,0,0,0,0,0,1,0,0,0,0,10,17,25,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2364
221,1,1560,2,4,0,0,0,0,0,0,1,0,0,0,0,18,80,23,2,27,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2128
49,1,107,2,2,0,0,0,0,0,0,1,0,0,0,0,20,69,23,3,7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3054
615,1,7064,3,6,0,0,0,0,0,0,1,0,0,0,0,18,69,0,1,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2143
3,1,41,2,2,0,0,0,0,0,0,1,0,0,0,0,30,70,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1747
15,1,287,2,2,0,0,0,0,0,0,1,0,0,0,0,18,80,18,1,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2019
1,1,28,2,2,0,0,0,0,0,0,1,0,0,0,0,20,70,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1326
67,1,320,2,4,0,0,0,0,0,0,1,0,0,0,0,18,69,0,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1400
124,1,986,5,13,0,0,0,0,0,0,1,0,0,0,0,18,69,11,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1387
84,1,315,2,4,0,0,0,0,0,0,1,0,0,0,0,18,69,0,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1381
114,1,708,8,14,0,0,0,0,0,0,1,0,0,0,0,18,69,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1135
1,1,98,2,2,0,0,0,0,0,0,1,0,0,0,0,18,70,6,1,8,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,79
3,1,156,2,4,0,0,0,0,0,0,1,0,0,0,0,18,70,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3147
8,1,142,3,4,0,0,0,0,0,0,1,0,0,0,0,18,75,4,1,16,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1568
1,1,49,2,2,0,0,0,0,0,0,1,0,0,0,0,18,80,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,2777
77,1,1217,2,3,0,0,0,0,0,0,1,0,0,0,0,18,69,22,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2520
116,1,495,2,3,0,0,0,0,0,0,1,0,0,0,0,18,79,4,1,9,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2076
57,1,599,2,3,0,0,0,0,0,0,1,0,0,0,0,18,69,10,1,22,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,837
1,1,23,1,1,0,0,0,0,0,0,1,0,0,0,0,30,69,35,2,6,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1738
169,1,1263,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,16,1,14,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1581
9,1,213,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,6,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,804
1,1,12,1,0,1,0,0,0,0,0,1,0,0,0,0,18,69,8,1,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,530
5,1,295,5,5,0,0,0,0,0,0,1,0,0,0,0,18,80,0,1,15,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1917
105,2,703,4,2,0,0,0,0,0,0,1,0,0,0,0,18,69,6,1,47,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2125
1,1,689,2,2,0,0,0,0,0,0,1,0,0,0,0,18,150,6,2,7,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,899
72,2,302,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,3,1,57,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1570
14,1,125,2,2,0,0,0,0,0,0,1,0,0,0,0,19,75,12,2,14,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1426
8,1,86,4,4,0,0,0,0,0,0,1,0,0,0,0,18,70,16,1,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1636
1,1,70,2,2,0,0,0,0,0,0,1,0,0,0,0,18,70,21,2,5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3309
4,1,66,2,2,0,0,0,0,0,0,1,0,0,0,0,18,70,9,1,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1884
199,1,894,3,5,0,0,0,0,0,0,1,0,0,0,0,18,69,7,2,13,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1393
1,1,16,2,3,0,0,0,0,0,0,1,0,0,0,0,30,64,0,12,4,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1422
21,1,182,2,4,0,0,0,0,0,0,1,0,0,0,0,30,75,7,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1620
2,1,53,2,2,0,0,0,0,0,0,1,0,0,0,0,40,75,4,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,849
1,1,23,1,0,0,0,0,1,0,0,1,0,0,0,0,18,55,30,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,2655
157,1,1700,2,2,0,0,0,0,0,0,1,0,0,0,0,40,69,0,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2121
1,1,70,2,3,0,0,0,0,0,0,1,0,0,0,0,18,70,13,1,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2878
119,2,731,4,4,0,0,0,0,0,0,1,0,0,0,0,18,69,5,1,36,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1128
82,1,316,2,4,0,0,0,0,0,0,1,0,0,0,0,18,69,13,1,6,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,847
65,1,240,2,2,0,0,0,0,0,0,1,0,0,0,0,20,69,15,2,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3275
5,1,273,2,2,0,0,0,0,0,0,1,0,0,0,0,18,80,37,1,14,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2989
79,1,678,3,3,0,0,0,0,0,0,1,0,0,0,0,18,80,0,2,14,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2540
139,1,1282,3,5,0,0,0,0,0,0,1,0,0,0,0,18,69,8,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1771
3,1,78,4,4,0,0,0,0,0,0,1,0,0,0,0,18,70,0,2,17,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2436
1,1,21,2,3,0,0,0,0,0,0,1,0,0,0,0,30,75,14,1,5,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1813
69,1,505,2,2,0,0,0,0,0,0,1,0,0,0,0,30,75,16,1,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3969
1,1,492,2,6,0,0,0,0,0,0,1,0,0,0,0,18,78,0,2,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3472
93,1,234,2,2,0,0,0,0,0,0,1,0,0,0,0,18,80,27,1,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1197
83,2,504,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,0,1,68,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2181
99,1,494,3,4,0,0,0,0,0,0,1,0,0,0,0,18,69,0,1,8,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1779
1,1,24,2,2,0,0,0,0,0,0,1,0,0,0,0,30,70,25,2,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,933
75,1,467,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,12,1,9,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2621
1,1,42,3,6,0,0,0,0,0,0,1,0,0,0,0,18,65,0,1,3,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,833
106,1,820,4,4,0,0,0,0,0,0,1,0,0,0,0,18,69,15,2,9,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2506
1,1,24,2,3,0,0,0,0,0,0,1,0,0,0,0,18,65,0,1,5,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1561
1,1,18,4,4,0,0,0,0,0,0,1,0,0,0,0,18,70,0,4,4,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2659
83,1,175,7,5,0,0,0,0,0,0,1,0,0,0,0,10,17,19,2,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2207
1,1,25,1,2,0,0,0,0,0,0,1,0,0,0,0,18,79,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1334
66,1,597,4,5,0,0,0,0,0,0,1,0,0,0,0,18,69,8,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1911
1,1,69,2,1,0,0,0,1,0,0,1,0,0,0,0,20,69,32,1,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2724
90,1,607,3,6,0,0,0,0,0,0,1,0,0,0,0,18,69,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,4295
1,1,45,3,2,0,0,0,0,0,0,1,0,0,0,0,18,70,9,2,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1856
1,1,24,3,5,0,0,0,0,0,0,1,0,0,0,0,21,70,0,28,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1158
243,1,2705,13,30,0,0,0,0,0,0,1,0,0,0,0,18,69,39,2,11,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1260
91,1,551,2,2,0,0,0,0,0,0,1,0,0,0,0,30,75,15,1,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3969
2,1,118,2,0,0,0,0,1,0,1,1,0,0,0,0,18,65,27,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1397
1,1,36,4,2,0,0,0,0,0,0,1,0,0,0,0,21,65,0,1,4,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2387
1,1,26,4,2,0,0,0,0,0,0,1,0,0,0,0,21,65,0,1,4,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2262
37,1,112,2,3,0,0,0,0,0,0,1,0,0,0,0,18,75,0,1,10,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2890
137,1,660,4,4,0,0,0,0,0,0,1,0,0,0,0,18,69,8,3,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1858
54,1,400,4,5,0,0,0,0,0,0,1,0,0,0,0,18,77,7,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1470
30,1,568,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,10,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1157
1,1,12,1,0,1,0,0,0,0,0,1,0,0,0,0,18,69,33,3,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1096
15,1,484,4,3,0,0,0,1,0,0,1,0,0,0,0,18,69,22,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2943
12,1,361,4,2,0,0,0,1,0,0,1,0,0,0,0,18,69,8,1,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3086
27,2,143,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,15,1,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2023
1,1,90,3,0,0,0,0,0,3,0,1,0,0,0,0,30,60,0,1,7,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,409
35,1,282,2,3,0,0,0,0,0,0,1,0,0,0,0,18,78,12,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,738
33,1,1484,3,5,0,0,0,0,0,0,1,0,0,0,0,18,69,8,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2719
1,1,76,2,5,0,0,0,0,0,0,1,0,0,0,0,35,70,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1368
1,1,262,2,5,0,0,0,0,0,0,1,0,0,0,0,18,78,16,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3926
273,1,1170,3,4,0,0,0,0,0,0,1,0,0,0,0,18,69,7,1,14,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1149
1,1,25,2,0,2,0,0,0,0,0,1,0,0,0,0,55,69,24,2,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,842
140,1,446,2,5,0,0,0,1,0,0,1,0,0,0,0,18,69,9,1,10,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2534
76,2,819,3,3,0,0,0,0,0,0,1,0,0,0,0,20,69,7,1,39,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1941
33,1,257,2,2,0,0,0,0,0,0,1,0,0,0,0,18,69,12,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,810
39,1,1179,3,4,0,0,0,0,0,0,1,0,0,0,0,18,69,13,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2454
2,1,15,2,1,0,0,0,0,0,0,1,0,0,0,0,30,65,20,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2872
2,1,114,1,0,0,0,1,0,0,0,1,0,0,0,0,18,70,0,7,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,2875
30,1,570,2,3,0,0,0,0,0,0,1,0,0,0,0,18,69,12,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1390
1,1,49,3,3,0,0,0,0,0,0,1,0,0,0,0,35,75,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,5667
117,2,506,2,3,0,0,0,0,0,0,1,0,0,0,0,18,69,1,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1058
53,1,304,5,5,0,0,0,0,0,0,1,0,0,0,0,18,70,0,1,11,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1782
